symbol,source,start,end,bars_1h,bars_4h,missing_1h_intervals,buy_hold_return_pct,buy_hold_cagr_pct
BTCUSDT,https://data-api.binance.vision/api/v3/klines,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,19735,128,1738.2822399729673,38.13175480293365
ETHUSDT,https://data-api.binance.vision/api/v3/klines,2017-08-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,78876,19735,128,735.6191678012818,26.56159314221256
BNBUSDT,https://data-api.binance.vision/api/v3/klines,2017-11-06 03:00:00+00:00,2026-08-21 23:00:00+00:00,76939,19250,122,45700.0,100.76218233316028
XRPUSDT,https://data-api.binance.vision/api/v3/klines,2018-05-04 08:00:00+00:00,2026-08-21 23:00:00+00:00,72672,18181,88,190.88,13.7279134591892
ADAUSDT,https://data-api.binance.vision/api/v3/klines,2018-04-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,73084,18284,88,-10.336190364369301,-1.2985389084871901
DOGEUSDT,https://data-api.binance.vision/api/v3/klines,2019-07-05 12:00:00+00:00,2026-08-21 23:00:00+00:00,62464,15625,44,1938.9755011135858,52.6260107519021
LINKUSDT,https://data-api.binance.vision/api/v3/klines,2019-01-16 10:00:00+00:00,2026-08-21 23:00:00+00:00,66530,16643,60,2139.028944911298,50.56455775056698
LTCUSDT,https://data-api.binance.vision/api/v3/klines,2017-12-13 03:00:00+00:00,2026-08-21 23:00:00+00:00,76051,19028,122,-80.45220588235293,-17.125670046721652
SOLUSDT,https://data-api.binance.vision/api/v3/klines,2020-08-11 06:00:00+00:00,2026-08-21 23:00:00+00:00,52822,13211,20,3188.421052631579,78.50640519587256
AVAXUSDT,https://data-api.binance.vision/api/v3/klines,2020-09-22 06:00:00+00:00,2026-08-21 23:00:00+00:00,51814,12959,20,822.1176470588235,45.59999862945578
