assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_rank,train_cagr_pct,train_mdd_pct,mdd35_ok
10,8,31.477814776626715,11.270765119424953,-23.70792858572639,1.726785872982008,0.6528076659431705,367,160,40,300,1.1,0.35,0.75,oos,2,28.355064964875353,-43.380944642656104,True
10,7,33.0566471443461,11.152769726765488,-23.941340870118275,1.5865178280696912,0.7257686242050501,368,200,30,300,1.05,0.5,0.75,oos,9,26.275039332302985,-44.919803791937525,True
10,8,32.05638492520243,10.914479637263419,-22.314001189454018,1.8042346876317232,0.7319972520702891,384,160,30,300,1.1,0.5,0.75,oos,4,27.02332859664174,-43.49000317302348,True
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True
10,8,26.68383340098015,10.004039793136588,-25.746366752489273,1.6584689740038818,0.6435029301195514,336,160,40,400,1.1,0.5,0.75,oos,1,28.482088941079308,-43.07853438576773,True
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True
10,8,25.023557172848665,9.504178130875873,-23.664496383182573,1.6646092831897445,0.6207039372132941,336,160,40,400,1.1,0.35,0.75,oos,3,27.66207698301252,-41.03360469681658,True
10,7,27.226052643887655,9.284373961357083,-24.33358415231066,1.618578673572173,0.685188237265783,368,200,30,300,1.1,0.5,0.75,oos,15,24.7207194120188,-43.86052308387589,True
10,9,21.632714008275723,8.913740534608117,-22.814551963653678,1.705161762693904,0.6635197557082828,344,160,30,400,1.1,0.5,0.75,oos,11,26.128274941427943,-44.63023682622436,True
10,8,25.79054598466397,8.805462921958618,-22.49332390083196,1.7745031783371892,0.6846805108438553,384,160,30,300,1.1,0.35,0.75,oos,12,25.473431862324205,-44.471777138563226,True
10,7,20.199414144536007,7.689999179478568,-26.272628370834724,1.4837221829213054,0.526958933378288,322,200,40,400,1.1,0.5,0.75,oos,10,26.262314919624565,-42.66366818960276,True
10,7,19.182068149953,7.376090347614062,-25.44232612963551,1.4917247080014833,0.5138093948657513,322,200,40,400,1.1,0.35,0.75,oos,13,25.424397142067477,-42.377477445006676,True
10,8,17.256376834167053,7.050219198767216,-24.447454497102594,1.4602881156791032,0.5244810112001115,331,200,30,400,1.05,0.5,0.75,oos,14,24.842661708781055,-42.27512026614026,True
10,8,17.734256509975275,6.836602698826333,-24.040027183662183,1.4614201107861295,0.5166031097261735,331,200,30,400,1.05,0.35,0.75,oos,16,24.58811642464702,-41.706205255961166,True
