assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_ok
10,10,386.7425848429283,28.482088941079308,-43.07853438576773,1.5512267229816232,1.04631531538779,888,160,40,400,1.1,0.5,0.75,train,True
10,10,386.7548854901934,28.355064964875353,-43.380944642656104,1.5725686131990706,1.04870639957107,937,160,40,300,1.1,0.35,0.75,train,True
10,10,367.4530497005425,27.66207698301252,-41.03360469681658,1.5847223277286862,1.0271216510489232,888,160,40,400,1.1,0.35,0.75,train,True
10,10,359.3680024571481,27.02332859664174,-43.49000317302348,1.581613875931234,1.038416160276578,1018,160,30,300,1.1,0.5,0.75,train,True
10,10,347.9206143087086,26.78285319718059,-44.70577921246708,1.552520935861884,0.978905546377395,829,200,40,400,1.05,0.5,0.75,train,True
10,10,348.6999699578804,26.630200515738466,-43.8534035090552,1.5409233943363687,1.0273294236583819,971,160,30,400,1.05,0.5,0.75,train,True
10,10,345.8967522570766,26.435055348144864,-43.79216527129697,1.542259776936651,1.0225332405915464,971,160,30,400,1.05,0.35,0.75,train,True
10,10,337.0334045644132,26.405983556100566,-44.696251753532806,1.5690398476260894,0.9765413796667601,829,200,40,400,1.05,0.35,0.75,train,True
10,10,330.0182426272577,26.275039332302985,-44.919803791937525,1.5584207940846069,0.9642324223792043,956,200,30,300,1.05,0.5,0.75,train,True
10,10,336.0964783029521,26.262314919624565,-42.66366818960276,1.558931229409449,0.9629603063366566,829,200,40,400,1.1,0.5,0.75,train,True
10,10,336.26802194227673,26.128274941427943,-44.63023682622436,1.5522519936413777,1.019794180975982,971,160,30,400,1.1,0.5,0.75,train,True
10,10,325.2124349604611,25.473431862324205,-44.471777138563226,1.5623383555687165,1.0048527963737346,1018,160,30,300,1.1,0.35,0.75,train,True
10,10,318.0422721111257,25.424397142067477,-42.377477445006676,1.5819072395972418,0.9475818824761186,829,200,40,400,1.1,0.35,0.75,train,True
10,10,299.9235828240545,24.842661708781055,-42.27512026614026,1.5104855028584825,0.9354804337337888,908,200,30,400,1.05,0.5,0.75,train,True
10,10,306.9543692787632,24.7207194120188,-43.86052308387589,1.536113556150183,0.9363887494047971,956,200,30,300,1.1,0.5,0.75,train,True
10,10,295.49454302399363,24.58811642464702,-41.706205255961166,1.5099264618422295,0.9413534862809316,908,200,30,400,1.05,0.35,0.75,train,True
10,10,286.16115458578315,24.181401537299962,-42.428428456236816,1.51717457041527,0.9158830423882055,908,200,30,400,1.1,0.5,0.75,train,True
10,10,273.0438606700083,23.495506445557112,-42.34160932542156,1.5174643082870494,0.9064851602783353,908,200,30,400,1.1,0.35,0.75,train,True
10,10,278.4943947226824,23.30290095514507,-43.383065208681444,1.5158394809136833,0.9138192175642942,956,200,30,300,1.1,0.35,0.75,train,True
10,10,865.4079859633455,42.80522724391054,-59.296021274841124,1.459323427301034,1.0862567297107462,937,160,40,300,1.05,0.5,1.0,train,False
10,10,864.4321720098794,42.66870253268511,-59.678394549777984,1.4709773720565198,1.082325570595714,937,160,40,300,1.05,0.35,1.0,train,False
10,9,552.2444270167686,39.31534763716472,-58.26340062331792,1.4308885053784872,1.0537974651499025,1018,160,30,300,1.05,0.35,1.0,train,False
10,9,580.015603195893,39.24865201221402,-57.94338433096476,1.4411725067886851,1.0681193455359232,1018,160,30,300,1.05,0.5,1.0,train,False
10,10,649.6696841298378,37.580132328142334,-57.59243587329088,1.4392900570504632,1.0569941973928643,888,160,40,400,1.05,0.5,1.0,train,False
10,10,653.8343066957935,37.54924020077368,-54.55938894507865,1.4551382297801332,1.0575258299715709,937,160,40,300,1.1,0.5,1.0,train,False
10,10,633.7949522906515,37.11037160121637,-57.711397488077495,1.4550684075685918,1.049342395785869,888,160,40,400,1.05,0.35,1.0,train,False
10,10,601.9473796044068,36.659997694265115,-61.89523790482782,1.4389183856416359,0.9643954543716604,880,200,40,300,1.05,0.5,1.0,train,False
10,10,610.9068143079405,36.435112629189945,-51.961333083652065,1.4600901667519581,1.0335546997095184,888,160,40,400,1.1,0.5,1.0,train,False
