assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,robust_ok
10,9,2907.8463996243227,76.22829840920193,-81.19352320585955,1.2027524839997354,1.0424497852097152,1561,0,donchian,4h,1.6,"{""entry_n"": 40, ""exit_n"": 10}",True
10,9,4715.536317435384,75.53833919583843,-82.07055643058695,1.149505068554244,1.069758813358316,1480,0,donchian,4h,1.6,"{""entry_n"": 40, ""exit_n"": 12}",True
10,9,2683.2832681214427,69.69419120090416,-76.76534635265722,1.2420727147137596,1.0341321282193825,1561,0,donchian,4h,1.4,"{""entry_n"": 40, ""exit_n"": 10}",True
10,9,4422.750910542354,68.64763981951904,-76.75920620182174,1.1903342587745935,1.0646990977952362,1480,0,donchian,4h,1.4,"{""entry_n"": 40, ""exit_n"": 12}",True
10,9,3451.4621225929827,66.60680038862583,-86.12866032294579,1.1371120515739035,1.000943970901909,1454,0,supertrend,4h,1.4,"{""mult"": 3.5, ""period"": 7}",True
10,9,3424.518546991349,65.88664858487417,-81.73276684507744,1.1688578454759897,1.0092638057813694,1454,0,supertrend,4h,1.25,"{""mult"": 3.5, ""period"": 7}",True
10,9,4683.31192192216,65.81152602390554,-84.33176406918597,1.1366610200625762,1.017655316024161,1333,0,donchian,4h,1.6,"{""entry_n"": 40, ""exit_n"": 16}",True
10,9,5697.445754438208,64.40601525631284,-83.56932152887806,1.1469058684514943,0.9986962549248701,1397,0,donchian,1h,1.6,"{""entry_n"": 160, ""exit_n"": 80}",True
10,9,2452.188442769132,63.05841917057562,-72.8300039378623,1.2761552503730011,1.0211539165549754,1561,0,donchian,4h,1.25,"{""entry_n"": 40, ""exit_n"": 10}",True
10,9,3302.825138531465,62.69477684240087,-78.41294845167573,1.1932957680327396,1.0012557703048186,1454,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 7}",True
10,9,3980.546596286236,62.19803071417498,-72.03427068695059,1.226610388171755,1.0582939993467435,1480,0,donchian,4h,1.25,"{""entry_n"": 40, ""exit_n"": 12}",True
10,9,5495.408098477755,61.596712725215866,-79.34065173149219,1.1828920783237602,0.9903815423827776,1397,0,donchian,1h,1.4,"{""entry_n"": 160, ""exit_n"": 80}",True
10,9,4255.1333482110595,61.161534899493056,-78.58501330400688,1.180231841502188,1.0215481918448515,1333,0,donchian,4h,1.4,"{""entry_n"": 40, ""exit_n"": 16}",True
10,9,3946.3836724493294,60.317901218311185,-89.81346165071221,1.123572126468797,1.0055796127620977,1441,0,supertrend,4h,1.6,"{""mult"": 3.5, ""period"": 10}",True
10,9,5032.285197027269,58.52527408740252,-75.52924154603781,1.2151777582994912,0.9832208380475539,1397,0,donchian,1h,1.25,"{""entry_n"": 160, ""exit_n"": 80}",True
10,9,2273.5663082073106,58.47565447737112,-69.86747097337533,1.301638670197788,1.010716842349751,1561,0,donchian,4h,1.15,"{""entry_n"": 40, ""exit_n"": 10}",True
10,9,4274.100557694032,58.44450211409212,-86.20648595327742,1.1613730797047574,1.0054135357968974,1441,0,supertrend,4h,1.4,"{""mult"": 3.5, ""period"": 10}",True
10,9,3602.801398327003,57.729106585369834,-68.47769142601938,1.2541361276101108,1.0525222039890418,1480,0,donchian,4h,1.15,"{""entry_n"": 40, ""exit_n"": 12}",True
10,9,4102.107105354966,57.53647372821885,-82.21207875682717,1.1954914253079902,1.0044366781082998,1441,0,supertrend,4h,1.25,"{""mult"": 3.5, ""period"": 10}",True
10,9,3678.321335478752,57.30238189907354,-84.66776685467545,1.0967964971348665,0.9876674581336138,1466,0,supertrend,4h,1.4,"{""mult"": 3.5, ""period"": 14}",True
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",True
10,9,3755.2975466511434,56.99526223811607,-74.45049903240255,1.2190141407391009,1.0225332141524683,1333,0,donchian,4h,1.25,"{""entry_n"": 40, ""exit_n"": 16}",True
10,9,3866.1345924432862,56.387108794559836,-79.69895150785086,1.2216921725366938,1.0032702792055954,1441,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 10}",True
10,9,4597.630193929047,56.014468592438874,-72.63423754787357,1.2398655592929346,0.9778706252023519,1397,0,donchian,1h,1.15,"{""entry_n"": 160, ""exit_n"": 80}",True
10,9,3520.693293735322,55.011747239769846,-80.85232746129303,1.122486774136676,0.9875690814330357,1466,0,supertrend,4h,1.25,"{""mult"": 3.5, ""period"": 14}",True
10,9,2842.3947692154948,54.96054765672022,-86.44610736411002,1.10675003175652,0.9611382863429834,2306,0,supertrend,4h,1.25,"{""mult"": 2.6, ""period"": 7}",True
10,9,3359.7976957753344,53.89850827418121,-71.5459013773098,1.2484966162424742,1.0208406200737934,1333,0,donchian,4h,1.15,"{""entry_n"": 40, ""exit_n"": 16}",True
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True
10,9,2700.598187210343,53.07939959163626,-83.35911924918824,1.123632708195283,0.9652998322377524,2306,0,supertrend,4h,1.15,"{""mult"": 2.6, ""period"": 7}",True
10,9,3190.7759745860226,52.95992130676996,-78.34182111969406,1.1432054751434095,0.982329890103943,1466,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 14}",True
10,9,3537.5653855430273,51.551546160379324,-67.6816983202788,1.2828999860629375,0.9687264107322813,1397,0,donchian,1h,1.0,"{""entry_n"": 160, ""exit_n"": 80}",True
10,9,1935.3694406942154,51.386741926169854,-64.8408633870215,1.3451156533762578,0.9918861550204134,1561,0,donchian,4h,1.0,"{""entry_n"": 40, ""exit_n"": 10}",True
10,9,2695.5622159080376,50.79544420683932,-62.497477883174625,1.3016816294047031,1.041151356363494,1480,0,donchian,4h,1.0,"{""entry_n"": 40, ""exit_n"": 12}",True
10,9,2725.9424938310517,50.17559731384043,-73.9887428174144,1.1812887627068525,0.9683208609452394,1466,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 14}",True
10,9,2714.9434085652233,48.78112051146951,-66.60319177192162,1.2995762749298365,1.006057021850123,1333,0,donchian,4h,1.0,"{""entry_n"": 40, ""exit_n"": 16}",True
10,9,2329.767116509819,48.45863751196926,-77.59511957274096,1.1538021229502349,0.9709720717419292,2306,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 7}",True
