turbo_exposure,ultra_threshold,brake_dd,windows,profitable_rate_pct,median_return_pct,p25_return_pct,best_return_pct,worst_return_pct,median_mdd_pct,worst_mdd_pct,liquidations,windows_10x_plus,windows_100x_plus,windows_500x_plus,best_multiple,score
2.0,1.2,0.15,124,58.87096774193549,14.771591420307105,-13.287111222283205,664.4415683025892,-25.050750935434962,-25.065673251431306,-34.62407395327981,0,0,0,0,7.644415683025892,7.369392731836946
1.5,1.2,0.15,124,60.483870967741936,12.118170379527083,-9.62018875706242,482.58587505610035,-25.1305019444512,-25.029354069101295,-34.49775913018699,0,0,0,0,5.825858750561004,6.890173159993612
1.5,1.15,0.15,124,58.87096774193549,11.281693381816705,-13.78462617066375,497.2329896991348,-25.1305019444512,-25.06203910975809,-34.49775913018699,0,0,0,0,5.972329896991348,3.632554289992882
1.5,1.2,0.1,124,55.64516129032258,7.323528295929838,-12.281078349713967,185.1773114546093,-20.136373229576453,-20.091778501327934,-34.497759130186964,0,0,0,0,2.851773114546093,2.2661321284734033
2.5,1.2,0.15,124,54.83870967741935,8.011496594672707,-14.885141801727082,679.9247550055914,-25.03157557283672,-25.11728279408861,-57.60037950189625,0,0,0,0,7.799247550055914,-1.0219737677512661
2.0,1.15,0.15,124,56.451612903225815,6.484340990097559,-15.18814922151645,695.9927501943562,-25.07821896678195,-25.070539331960678,-34.62407395327981,0,0,0,0,7.959927501943562,-2.3546807059958414
2.0,1.2,0.1,124,54.03225806451613,3.2531194979150024,-12.956784208060409,380.70413703064787,-20.161947338091547,-20.10327608111824,-46.03937873624449,0,0,0,0,4.807041370306479,-2.470459033771095
1.5,1.15,0.1,124,54.83870967741935,2.780155673202589,-13.920768800272104,195.5959184139017,-20.136373229576453,-20.094065934812996,-34.497759130186964,0,0,0,0,2.955959184139017,-3.2595197588560882
2.0,1.15,0.1,124,53.2258064516129,2.6249233780337833,-14.383573478554002,400.5444810052149,-24.28475295351734,-20.10327608111818,-46.03937873624449,0,0,0,0,5.005444810052149,-3.973340111479729
2.5,1.15,0.15,124,54.03225806451613,3.4978119006990327,-18.985117455969135,724.3066628439434,-29.693052976461175,-25.098887506651636,-57.60037950189625,0,0,0,0,8.243066628439434,-7.737738967708127
3.0,1.2,0.1,124,48.38709677419355,-2.2843162749882575,-13.333817489610913,246.36576297295426,-23.939427997313256,-20.135406843629674,-51.9513916656992,0,0,0,0,3.4636576297295427,-9.34150908676984
2.5,1.15,0.1,124,45.96774193548387,-2.014713284863995,-15.211164411495472,127.65262368503497,-29.87000991151072,-20.135385112877053,-57.60037966482571,0,0,0,0,2.2765262368503496,-10.494439659953484
3.0,1.2,0.15,124,50.0,0.0440672237791373,-16.33647064952963,202.08218452750705,-28.22556865997844,-25.11272542100931,-69.17979233953979,0,0,0,0,3.0208218452750706,-10.680530811490332
2.5,1.2,0.1,124,45.96774193548387,-3.4413189069815053,-14.19204945000483,218.60939982697428,-20.04114362937316,-20.164957318106417,-57.60037966482571,0,0,0,0,3.186093998269743,-11.426273903940356
3.0,1.15,0.15,124,44.354838709677416,-3.9616291637400716,-19.38816851873225,192.57869121177075,-35.30546709451229,-25.114824431377908,-69.17979233953979,0,0,0,0,2.9257869121177076,-17.342157896859668
3.0,1.15,0.1,124,40.32258064516129,-8.38236909088878,-15.414364281001323,281.0739116982149,-35.46829803429957,-20.135406702833393,-51.95131777071279,0,0,0,0,3.8107391169821487,-18.092738453773883
