symbol,start,end,turbo_exposure,ultra_threshold,brake_dd,return_pct,multiple,mdd_pct,liquidated,max_exposure_seen
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.5,1.15,0.15,724.3066628439434,8.243066628439434,-25.06085076759429,0,2.5
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.0,1.15,0.15,695.9927501943562,7.959927501943562,-25.098572140838236,0,2.0
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.5,1.2,0.15,679.9247550055914,7.799247550055914,-25.06085076759422,0,2.5
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.0,1.2,0.15,664.4415683025892,7.644415683025892,-25.098572140838193,0,2.0
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,1.5,1.15,0.15,497.2329896991348,5.972329896991348,-25.087716268088712,0,1.5
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,1.5,1.2,0.15,482.58587505610035,5.825858750561004,-25.087716268088734,0,1.5
AVAXUSDT,2020-09-23 00:00:00+00:00,2022-09-23 00:00:00+00:00,1.5,1.15,0.15,452.86186026798055,5.528618602679805,-25.327155443947348,0,1.5
AVAXUSDT,2020-09-23 00:00:00+00:00,2022-09-23 00:00:00+00:00,1.5,1.2,0.15,433.37562901072005,5.333756290107201,-25.32715544394738,0,1.5
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.0,1.15,0.1,400.5444810052149,5.005444810052149,-20.14559238860206,0,2.0
BNBUSDT,2020-04-25 00:00:00+00:00,2022-04-25 00:00:00+00:00,2.0,1.2,0.15,396.436820326934,4.96436820326934,-25.098572140838193,0,2.0
BNBUSDT,2020-10-22 00:00:00+00:00,2022-10-22 00:00:00+00:00,2.0,1.2,0.1,380.70413703064787,4.807041370306479,-20.145592388602076,0,2.0
AVAXUSDT,2020-09-23 00:00:00+00:00,2022-09-23 00:00:00+00:00,2.0,1.15,0.15,300.40734622145953,4.0040734622145955,-25.32715544394741,0,2.0
XRPUSDT,2020-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,2.5,1.15,0.15,291.7295479847369,3.9172954798473687,-28.35230580469372,0,2.5
XRPUSDT,2019-10-27 00:00:00+00:00,2021-10-26 00:00:00+00:00,2.5,1.15,0.15,285.34504016649544,3.8534504016649542,-28.35230580469371,0,2.5
BNBUSDT,2020-04-25 00:00:00+00:00,2022-04-25 00:00:00+00:00,1.5,1.15,0.15,284.27826040189603,3.8427826040189603,-25.087716268088723,0,1.5
ETHUSDT,2019-08-08 00:00:00+00:00,2021-08-07 00:00:00+00:00,3.0,1.15,0.1,281.0739116982149,3.8107391169821487,-20.990459866404198,0,3.0
AVAXUSDT,2020-09-23 00:00:00+00:00,2022-09-23 00:00:00+00:00,2.0,1.2,0.15,277.4763231212638,3.7747632312126385,-25.327155443947426,0,2.0
XRPUSDT,2020-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,2.5,1.2,0.15,266.2305341857748,3.662305341857748,-28.352305804693824,0,2.5
BNBUSDT,2020-04-25 00:00:00+00:00,2022-04-25 00:00:00+00:00,1.5,1.2,0.15,259.7744491913607,3.597744491913607,-25.0877162680888,0,1.5
XRPUSDT,2019-10-27 00:00:00+00:00,2021-10-26 00:00:00+00:00,2.5,1.2,0.15,254.4803380034557,3.544803380034557,-28.352305804693756,0,2.5
ETHUSDT,2019-08-08 00:00:00+00:00,2021-08-07 00:00:00+00:00,3.0,1.2,0.1,246.36576297295426,3.4636576297295427,-20.990459866404166,0,3.0
ETHUSDT,2019-02-09 00:00:00+00:00,2021-02-08 00:00:00+00:00,2.0,1.2,0.15,240.06781417425333,3.4006781417425334,-25.635900481780716,0,2.0
BTCUSDT,2019-02-09 00:00:00+00:00,2021-02-08 00:00:00+00:00,2.0,1.15,0.15,233.89138306498018,3.3389138306498016,-21.567200717055567,0,2.0
ETHUSDT,2020-02-04 00:00:00+00:00,2022-02-03 00:00:00+00:00,3.0,1.2,0.1,228.71043144396032,3.287104314439603,-20.990459866404155,0,3.0
ETHUSDT,2020-02-04 00:00:00+00:00,2022-02-03 00:00:00+00:00,3.0,1.15,0.1,227.17824671030522,3.271782467103052,-20.990459866404198,0,3.0
XRPUSDT,2019-10-27 00:00:00+00:00,2021-10-26 00:00:00+00:00,2.0,1.15,0.15,219.33148419137055,3.1933148419137054,-25.274472604127286,0,2.0
ETHUSDT,2019-08-08 00:00:00+00:00,2021-08-07 00:00:00+00:00,2.5,1.2,0.1,218.60939982697428,3.186093998269743,-20.766165756219845,0,2.5
XRPUSDT,2020-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,2.0,1.15,0.15,217.48142219638606,3.1748142219638606,-25.27447260412724,0,2.0
XRPUSDT,2020-10-21 00:00:00+00:00,2022-10-21 00:00:00+00:00,2.5,1.15,0.15,212.37434982483126,3.1237434982483125,-28.352305804693668,0,2.5
BTCUSDT,2019-02-09 00:00:00+00:00,2021-02-08 00:00:00+00:00,2.0,1.2,0.15,205.70005474202867,3.057000547420287,-21.567200717055602,0,2.0
