turbo,pyr1,pyr2,dd,brake,start,end,return_pct,multiple,mdd_pct,liquidated
2.0,1.25,2.0,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,1377.4301488981916,14.774301488981918,-77.4109131605558,0
2.0,1.25,2.0,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,1359.978785445584,14.59978785445584,-77.41091316055582,0
1.5,1.25,2.0,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,1318.2034623216841,14.182034623216841,-77.41091316055581,0
1.5,1.0,1.5,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,1312.4332270519897,14.124332270519897,-64.30989245554582,0
1.5,1.0,1.5,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,1137.841673782793,12.378416737827928,-64.30989245554576,0
1.5,1.0,1.5,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,1136.3726406063045,12.363726406063044,-64.30989245554579,0
1.5,1.25,2.0,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,1106.2119939322195,12.062119939322194,-77.41091316055582,0
1.5,1.25,2.0,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,996.7347542250259,10.967347542250259,-77.41091316055581,0
2.5,1.25,2.0,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,980.1308831992252,10.801308831992252,-76.64706301145144,0
2.0,1.0,1.5,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,917.1082239436048,10.171082239436048,-63.05948815617415,0
2.5,1.0,1.5,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,903.21638872374,10.0321638872374,-61.81034804081129,0
2.0,1.25,2.0,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,893.9124137040781,9.93912413704078,-77.41091316055581,0
2.0,1.0,1.5,0.1,0.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,891.3986999203823,9.913986999203823,-63.05948815617416,0
2.0,1.0,1.5,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,872.2951147057822,9.722951147057822,-63.05948815617417,0
2.0,1.25,2.0,0.15,0.35,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,871.8593987057741,9.71859398705774,-67.58406920228775,0
2.0,1.25,2.0,0.1,0.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,857.8686048277301,9.578686048277302,-77.41091316055581,0
1.5,1.0,1.5,0.1,0.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,852.8355273998809,9.528355273998809,-64.3098924555458,0
2.0,1.25,2.0,0.15,0.35,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,830.4010910972756,9.304010910972757,-67.58406920228774,0
2.5,1.25,2.0,0.1,0.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,827.0353227732307,9.270353227732308,-76.64706301145145,0
1.5,1.25,2.0,0.1,0.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,819.7090087799635,9.197090087799635,-77.41091316055582,0
2.5,1.25,2.0,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,811.3888034515829,9.11388803451583,-76.64706301145145,0
2.5,1.0,1.5,0.1,0.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,794.1436943542391,8.94143694354239,-61.810348040811306,0
2.0,1.25,2.0,0.15,0.35,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,748.2126586003723,8.482126586003723,-67.58406920228775,0
2.0,1.25,2.0,0.15,0.35,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,727.0189975153421,8.270189975153421,-67.58406920228775,0
1.5,1.0,1.5,0.15,0.35,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,721.7426464732398,8.217426464732398,-54.3183481038801,0
