single,pair_total,ultra,p1,p2,trail,edge,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,19110.593920898373,192.10593920898373,-56.05215660254754,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,15667.481344181488,157.67481344181488,-53.58871857832537,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,13956.66107991556,140.5666107991556,-54.723722962115964,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,10548.559950729568,106.48559950729569,-52.188862517560295,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,9618.350187526867,97.18350187526866,-52.43317433014947,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,9513.373992071614,96.13373992071614,-50.11545966726156,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,8740.724010270853,88.40724010270853,-49.434548027863876,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,6881.8469411676715,69.81846941167672,-49.9046129574286,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,6731.70006720711,68.3170006720711,-58.75270557333586,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,6440.3728561976095,65.4037285619761,-48.79390826349413,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,5501.455639119986,56.01455639119986,-52.59667362580001,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,5046.03596628778,51.4603596628778,-49.00347233444534,0
0.8,1.0,1.5,1.25,1.75,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,5011.463247289415,51.11463247289416,-49.18123273278625,0
0.8,1.0,1.5,1.25,1.75,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,5001.662487025158,51.016624870251576,-46.99123437717117,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,4438.846126500731,45.38846126500731,-48.06089915999129,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,4053.8259258508774,41.53825925850877,-58.54811422088835,0
0.8,1.0,1.5,1.25,1.75,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,3628.8497237033207,37.288497237033205,-45.77854944514922,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,3601.347414835773,37.01347414835773,-50.96727219655668,0
0.8,1.0,1.5,1.25,1.75,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,3546.53183701222,36.4653183701222,-46.99123437717129,0
0.8,1.0,1.5,1.25,1.75,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,3096.292237177808,31.96292237177808,-45.57131028017876,0
0.8,1.0,1.5,1.25,1.75,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,2981.5612154612386,30.815612154612385,-49.17725173305472,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,2891.914253395574,29.919142533955743,-52.864144617398104,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,2320.287510871261,24.20287510871261,-57.4943673501082,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2300.2938766814455,24.002938766814456,-60.71644438211745,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2171.293396271794,22.71293396271794,-60.257962138639655,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2052.5906051336187,21.52590605133619,-69.49104801639656,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1966.256282322281,20.66256282322281,-67.01515925041639,0
0.8,1.0,2.0,1.5,2.25,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1662.159799309639,17.62159799309639,-65.33644119737113,0
0.8,1.0,2.0,1.5,2.25,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1635.2429957067643,17.352429957067642,-68.95127845661487,0
0.8,1.0,1.5,1.25,1.75,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1631.7837335186177,17.317837335186177,-59.5779428425727,0
