breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,116.39128984659277,2.1639128984659277,-21.49699514633986,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,3.705232894834265,1.0370523289483426,-20.061533186699197,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-21.426332877950237,0.7857366712204976,-21.426332877950237,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,38.69051653188158,1.3869051653188158,-20.577782935199764,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-1.1913096269921208,0.9880869037300788,-20.512902394275912,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,25.803276357352377,1.2580327635735238,-23.255914723979544,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,78.03510535888229,1.780351053588823,-22.660009547173253,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,93.71968337943497,1.9371968337943497,-28.038122040873525,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-16.402187323989846,0.8359781267601015,-20.768917709383917,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-17.705005024874808,0.8229499497512519,-20.20467845523035,0
