breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.5,0.7,0.8,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,181.59978504708226,2.8159978504708225,-21.78252257196691,0
0.5,0.7,0.8,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,181.59978504708226,2.8159978504708225,-21.78252257196691,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,180.0211529228505,2.800211529228505,-21.782522571966943,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,180.0211529228505,2.800211529228505,-21.782522571966943,0
0.4,0.6,0.7,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,163.79289186772903,2.6379289186772903,-45.5704584040747,0
0.5,0.7,0.8,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,147.62022502501182,2.476202250250118,-23.520284256662983,0
0.5,0.7,0.8,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,147.62022502501182,2.476202250250118,-23.520284256662983,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,146.23206833285477,2.4623206833285476,-23.520284256662972,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,146.23206833285477,2.4623206833285476,-23.520284256662972,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,142.42294806047676,2.4242294806047675,-45.5704584040747,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,123.20090074024867,2.2320090074024868,-25.459453198154836,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,123.20090074024867,2.2320090074024868,-25.459453198154836,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,117.61123224110679,2.176112322411068,-21.496995146339838,0
