symbol,full_start,split_time,full_end,train_bars,test_bars_with_warmup
BTCUSDT,2017-08-17 04:00:00+00:00,2023-12-10 01:00:00+00:00,2026-08-21 23:00:00+00:00,55213,23963
ETHUSDT,2017-08-17 04:00:00+00:00,2023-12-10 01:00:00+00:00,2026-08-21 23:00:00+00:00,55213,23963
BNBUSDT,2017-11-06 03:00:00+00:00,2024-01-03 06:00:00+00:00,2026-08-21 23:00:00+00:00,53857,23382
XRPUSDT,2018-05-04 08:00:00+00:00,2024-02-25 14:00:00+00:00,2026-08-21 23:00:00+00:00,50870,22102
ADAUSDT,2018-04-17 04:00:00+00:00,2024-02-20 10:00:00+00:00,2026-08-21 23:00:00+00:00,51158,22226
DOGEUSDT,2019-07-05 12:00:00+00:00,2024-07-02 04:00:00+00:00,2026-08-21 23:00:00+00:00,43724,19040
LINKUSDT,2019-01-16 10:00:00+00:00,2024-05-12 09:00:00+00:00,2026-08-21 23:00:00+00:00,46571,20259
LTCUSDT,2017-12-13 03:00:00+00:00,2024-01-14 08:00:00+00:00,2026-08-21 23:00:00+00:00,53235,23116
SOLUSDT,2020-08-11 06:00:00+00:00,2024-10-30 17:00:00+00:00,2026-08-21 23:00:00+00:00,36975,16147
AVAXUSDT,2020-09-22 06:00:00+00:00,2024-11-12 07:00:00+00:00,2026-08-21 23:00:00+00:00,36269,15845
